Questions,A,B,C,D,Correct Option
The enzymes of lysosomes are synthesized on:,PER,SER,Chloroplast,Golgi apparatus,A
________ is involved in lipids synthesis/metabolism.,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Mitochondria,Vacuoles,A
Trypsinogen is activated by:,Chymotrypsin,Enteropeptidase,Trypsin,HCL,B
Role of lysosomes are:,Hydrolytic enzymes,Autophagy,Destruction of cell,All of above,D
Founder of cell biology is:,Schlielden and Schwan,Galileo,Robert Hooke,Robert Brown,C
The difference between rough endoplasmic reticulum and smooth endoplasmic reticulum is due to the presence of:,Mesosomes,Ribosomes,Golgi bodies,Mitochondria,B
Which of the following is correctly paired with its function?,"Ribosome, work more efficiently in acidic medium",Golgi bodies = formation of polysaccharides,Lysosomes is a single celled organelle for packing,None,C
Fresh water proteroants pumped out excess water by a special structure called:,Oral groove,Contractive vacuole,Vesicle,Vacuole,D
It is the smallest eukaryote:,Virus,Bacteria,Plasmodium,Sponge,B
Which of the following is part of mitosis in cells of seed plants?,Centrioles,Asters,Spindles,Cleavage furrows,C
Waxes  are the esters of fatty acids with high molecular weight.,Monohydroxy alcohols,Dihydroxy alcohol,Trihydroxy alcohol,All of the above,A
Oligosaccharides class of carbohydrates contain monosaccharide's of about:,2 to 8 units,2 to 9 units,2 to 10 units,2 to 11 units,C
Sucrose on hydrolysis yield:,Glucose,Glucose and fructose,Glucose and maltose,Maltose and fructose,B
"Lactose, maltose and sucrose are the important:",Polysaccharides,Disaccharides,Monosaccharides,Oligasoccharides,B
Amount of DNA in bacterial cell is:,1%,2%,3%,4%,A
What is percentage of carbohydrates in the mammalian cell per total cell weight:,2,4,8,18,B
Surcose is considered as:,Monosaccharide,Disaccharides,Polysaccharides,None of these,B
High molecular mass compound was hydrolyzed the product was analyzed and found to be amino acid. The compound is:,Protein,Carbohydrate,Lipid,Vitamins,A
A single molecule of haemglobin is composed of:,Three polypeptide cahins,Four polypeptide cahins,Five polypeptide cahins,Six polypeptide cahins,B
Conversion of exess glucose in to fat is known as:,Glycolysis,Lipogenesis,Ketogenosis,Glycogenesis,B
All cell membranes are composed of:,Proteins,Lipids,Lipo protein,Cellulose,C
All of the following are polysaccharides EXCEPT:,Cellulose,Glycogen,Starch,Lactose,D
All of the follwoing structures are proteinous in nature except:,Hooves,Hemoglobin,Enzymes,Steroids,D
All of the following are mono nucleotides EXCEPT:,A.M.P,A.T.P,A.D.P.,F.A.D.,D
All of the following are carbohydrate EXCEPT:,Glycogen,Collagen,Starch,Cellulose,B
A coiled hemogoblin is called:,Haemocyonine,Haemoprotein,Myoglobin,Haemorrhoids,C
Peptide bond is formed between:,Hydrogen roups of adjacent amino acids,Functional groupof the amino acids,Carboxyl group and Amino group,Functional group and Hydrogen roups of adjacent amino acids,C
The enormous diversity of protein molecules is mostly due to the diversity of:,Amino groups on the amino acids,R groups on the amino acids,Peptide bonds,Amino acids sequences within protein molecules,B
Which of the following base is not present in RNA?,Thymine,Adonine,Guanine,Cytosine,A
Which of the following is composed of lipids?,Some hormones,Enzymes,Skin tendons,Insulin,A
"In saturated fatty acids, more hydrigens arenot accommodated because of:",Presence of single bonds between carbon atoms,Presence of double bonds between two carbon atoms,Presence of double bonds between carbon atoms,Absence of bond between carbon atoms,A
Lipids store double amount of energy as compared to carbohydrates because of:,High proportion of oxygen,High C-O ratio,Low proportion of carbon,High proportion of C-H,D
Monosaccharides have a general formula represented by:,Cn(H2O)n,C(H2O)n,C2(H2O)n,C2(H2O2)n,A
NAD is an example of:,Mononucleotide,Dinucleotide,Tri nucleotide,Tetra nucleotide,B
Monosaccharides are major components of:,"DNA, ATPM Ribulose bisphosphate and cysteine","DNA, NAD, and insulin","DNA, NADP, ATP and ribulose bisphosphate","DNA, RNA and Myosin",C
Which one of the following is an example of unsaturated fatty acid?,Butyric acid,Oleic acid,Acetic acid,None of the above,B
The compounds which on hydrolysis yield polyhydroxy aldehyde or ketone subunits are:,Lipids,Proteins,Polynucleotides,Carbohyderates,D
Secondary structure of protein is found in:,Trypsin,Keratin,Insulin,Glucagon,B
Waxes are formed by combination of fatty acids with:,Alcohol,Glycerol,Serine,Cysteine,A
